hashtags;timestamp;type;users_in_photo;user_id;likes
[u'boulder', u'love', u'iloveclimbing', u'climbing_pictures_of_instagram', u'photography', u'hardcorephysiques', u'sports', u'gevx', u'climbing', u'workout', u'boreal', u'escalada', u'3porsemana', u'mountain', u'healthy', u'mulheresfit', u'crossfit', u'fit', u'womenclimber', u'fitnesshut', u'picoftheday', u'whportugal', u'girlspower', u'sportlifeportugal', u'menshealthportugal', u'eusouwh', u'fitness', u'womensoutdoor', u'bodylove', u'climber'];1447707519;image;0;276520704;11
[u'rockclimbing', u'ko\xe7university', u'kudak', u'trekking', u'club', u'climbing', u'mountaineering'];1447707368;image;5;2094985807;8
[u'music', u'nature', u'estilodevida', u'piedraparada', u'vidasimples', u'musica', u'liveoutdoors', u'outdoorlife', u'climbing', u'escalada', u'nativusaventura'];1447707367;image;0;2039496440;5
[u'climbing', u'8a', u'finchegridinonseimorto'];1447707348;image;0;187582030;1
[u'ambassador', u'outdoor', u'followyourdreams', u'gym', u'satisfaction', u'theriseofthemachine', u'london', u'climbers', u'dryicetools', u'climbing', u'personaltraining', u'pt', u'yourclimbinglife', u'uk', u'fitness', u'positivethinking', u'drytooling'];1447707323;image;2;1018178339;9
[u'wymtm', u'campbellspocketrd', u'climbing', u'cyclingphotos', u'repeats', u'bmcaus'];1447707317;image;0;18557620;5
[u'climbing_pictures_of_instagram', u'climbing', u'clearcreekcanyon', u'sendit'];1447707317;image;0;1582690501;11
[u'gymshark', u'ripped', u'gohard', u'fit', u'endurance', u'results', u'instagood', u'bodybuilding', u'climbing', u'strong', u'cardio', u'fittness', u'motivation'];1447707308;image;0;206746778;14
[u'joshuatree', u'climbing', u'girlswhoclimb', u'ladycrusher'];1447707308;image;1;21882515;6
[u'petsofig', u'hiking', u'colorfuldogs', u'petsofinstagram', u'photography', u'hilife', u'adoptdontshop', u'catahoula', u'activedog', u'lifeinhawaii', u'rescuedog', u'climbing', u'luckywelivehawaii', u'dogsofinstagram', u'athelete', u'catahoulaleopard', u'dogstagram', u'ilovemydog', u'dogsofig', u'colorfullife', u'allamericandog', u'dogoftheday'];1447707287;image;0;1977758696;19
[u'etv', u'for\xeat', u'fontainebleau', u'escalade', u'climbing', u'climb', u'escaladeenterresvives'];1447707253;image;0;2223100624;2
[u'etv', u'for\xeat', u'fontainebleau', u'escalade', u'climbing', u'climb', u'escaladeenterresvives'];1447707209;image;0;2223100624;3
[u'hasan', u'mountain', u'minimalmood', u'throwback', u'climbing', u'minimal'];1447707176;image;2;54180740;26
[u'climbingchallenge', u'lotus', u'cityclimbing', u'spider', u'harness', u'climbing', u'k\u0131sakaya', u'education', u'loveclimbing', u'city', u'kisakaya', u'spiderman', u'\xe7izgi', u'\xe7ankayaetkinlik', u'climbingmagazine', u'citylife', u'\xe7ankaya', u'\xe7ocuk', u'lotusflower', u'marvel'];1447707152;image;0;2091485017;9
[u'vsco', u'climbing', u'timelapse', u'vscocam', u'portlandme'];1447707143;video;0;31130085;5
[u'summer', u'run', u'hiking', u'photography', u'beautifulview', u'panorama', u'jump', u'moment', u'waterfall', u'adventure', u'goprodestination', u'climbing', u'vsco', u'vsconature', u'vscogang', u'vscogood', u'vsco_art', u'destination', u'vscophile', u'hike', u'amazing', u'vscolife', u'hikingadventures', u'fun', u'vscocam', u'outdoors', u'exercise', u'photooftheday'];1447707143;image;0;143722583;23
[u'redrivergorge', u'climbers4cannabis', u'love', u'climbing_pictures_of_instagram', u'dirtbaglife', u'adventure', u'earth', u'getoutstayout', u'climbing', u'dirtbagclimbers', u'solarium', u'staywild', u'climbersagainstcancer', u'live', u'climbersofinstagram', u'havingagreattimeinlife'];1447707126;image;0;29702096;15
[u'einfachmalraus', u's\xe4chsischeschweiz', u'followme', u'nature', u'sun', u'travel', u'instagood', u'breathing', u'health', u'follow4follow', u'climbing', u'bluesky', u'fitnessjourney'];1447707124;image;0;2208451929;14
[u'mountain', u'veraclimb', u'rocodromo', u'roca', u'magnesera', u'climbing', u'climb', u'escalada', u'climber'];1447707065;image;0;1542144879;8
